"filename", "language", "Python", "HTML", "CSS", "XML", "pip requirements", "Markdown", "comment", "blank", "total"
"e:\projects\venv\Scripts\myPetProject\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\projects\venv\Scripts\myPetProject\common\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\common\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"e:\projects\venv\Scripts\myPetProject\common\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\projects\venv\Scripts\myPetProject\common\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\common\models.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"e:\projects\venv\Scripts\myPetProject\common\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\common\urls.py", "Python", 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\projects\venv\Scripts\myPetProject\common\views.py", "Python", 15, 0, 0, 0, 0, 0, 1, 7, 23
"e:\projects\venv\Scripts\myPetProject\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"e:\projects\venv\Scripts\myPetProject\requirements.txt", "pip requirements", 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\projects\venv\Scripts\myPetProject\reviews\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\admin.py", "Python", 7, 0, 0, 0, 0, 0, 1, 3, 11
"e:\projects\venv\Scripts\myPetProject\reviews\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\projects\venv\Scripts\myPetProject\reviews\components\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\components\database_requests.py", "Python", 145, 0, 0, 0, 0, 0, 0, 46, 191
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IBuilder.py", "Python", 5, 0, 0, 0, 0, 0, 0, 4, 9
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IDriverAdapter.py", "Python", 17, 0, 0, 0, 0, 0, 5, 8, 30
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IReviewsPage.py", "Python", 8, 0, 0, 0, 0, 0, 0, 7, 15
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IScruber.py", "Python", 8, 0, 0, 0, 0, 0, 2, 7, 17
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\ISpeecher.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\ITranslator.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\components\pitchf_scruber_builder.py", "Python", 16, 0, 0, 0, 0, 0, 0, 8, 24
"e:\projects\venv\Scripts\myPetProject\reviews\components\pitchfork_scruber.py", "Python", 105, 0, 0, 0, 0, 0, 0, 34, 139
"e:\projects\venv\Scripts\myPetProject\reviews\components\selenium_adapter.py", "Python", 67, 0, 0, 0, 0, 0, 0, 15, 82
"e:\projects\venv\Scripts\myPetProject\reviews\components\speecher.py", "Python", 17, 0, 0, 0, 0, 0, 0, 10, 27
"e:\projects\venv\Scripts\myPetProject\reviews\components\translator.py", "Python", 18, 0, 0, 0, 0, 0, 0, 8, 26
"e:\projects\venv\Scripts\myPetProject\reviews\components\validators.py", "Python", 25, 0, 0, 0, 0, 0, 0, 15, 40
"e:\projects\venv\Scripts\myPetProject\reviews\context_processors\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\context_processors\latest_review_index.py", "Python", 8, 0, 0, 0, 0, 0, 0, 3, 11
"e:\projects\venv\Scripts\myPetProject\reviews\migrations\0001_initial.py", "Python", 37, 0, 0, 0, 0, 0, 1, 7, 45
"e:\projects\venv\Scripts\myPetProject\reviews\migrations\0002_userreview.py", "Python", 26, 0, 0, 0, 0, 0, 1, 6, 33
"e:\projects\venv\Scripts\myPetProject\reviews\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\models.py", "Python", 24, 0, 0, 0, 0, 0, 1, 18, 43
"e:\projects\venv\Scripts\myPetProject\reviews\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\services\all_reviews_page_service.py", "Python", 9, 0, 0, 0, 0, 0, 0, 5, 14
"e:\projects\venv\Scripts\myPetProject\reviews\services\all_users_reviews_page_service.py", "Python", 15, 0, 0, 0, 0, 0, 0, 9, 24
"e:\projects\venv\Scripts\myPetProject\reviews\services\certain_review_page_service.py", "Python", 40, 0, 0, 0, 0, 0, 0, 14, 54
"e:\projects\venv\Scripts\myPetProject\reviews\services\certain_user_review_page_service.py", "Python", 36, 0, 0, 0, 0, 0, 0, 9, 45
"e:\projects\venv\Scripts\myPetProject\reviews\services\create_user_review_service.py", "Python", 49, 0, 0, 0, 0, 0, 0, 17, 66
"e:\projects\venv\Scripts\myPetProject\reviews\services\interfaces\ICommand.py", "Python", 5, 0, 0, 0, 0, 0, 0, 4, 9
"e:\projects\venv\Scripts\myPetProject\reviews\services\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\services\mini_services.py", "Python", 7, 0, 0, 0, 0, 0, 0, 5, 12
"e:\projects\venv\Scripts\myPetProject\reviews\services\update_reviews_in_db_service.py", "Python", 63, 0, 0, 0, 0, 0, 0, 22, 85
"e:\projects\venv\Scripts\myPetProject\reviews\signals.py", "Python", 9, 0, 0, 0, 0, 0, 0, 4, 13
"e:\projects\venv\Scripts\myPetProject\reviews\tasks.py", "Python", 6, 0, 0, 0, 0, 0, 0, 4, 10
"e:\projects\venv\Scripts\myPetProject\reviews\tests.py", "Python", 28, 0, 0, 0, 0, 0, 14, 12, 54
"e:\projects\venv\Scripts\myPetProject\reviews\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\projects\venv\Scripts\myPetProject\reviews\views.py", "Python", 66, 0, 0, 0, 0, 0, 1, 21, 88
"e:\projects\venv\Scripts\myPetProject\soundhome\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 1, 3
"e:\projects\venv\Scripts\myPetProject\soundhome\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"e:\projects\venv\Scripts\myPetProject\soundhome\celery.py", "Python", 7, 0, 0, 0, 0, 0, 0, 5, 12
"e:\projects\venv\Scripts\myPetProject\soundhome\local_settings.py", "Python", 9, 0, 0, 0, 0, 0, 6, 6, 21
"e:\projects\venv\Scripts\myPetProject\soundhome\prod_settings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\soundhome\settings.py", "Python", 112, 0, 0, 0, 0, 0, 30, 40, 182
"e:\projects\venv\Scripts\myPetProject\soundhome\urls.py", "Python", 12, 0, 0, 0, 0, 0, 15, 3, 30
"e:\projects\venv\Scripts\myPetProject\soundhome\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"e:\projects\venv\Scripts\myPetProject\static\css\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 3, 6
"e:\projects\venv\Scripts\myPetProject\static\css\login_form.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 4, 16
"e:\projects\venv\Scripts\myPetProject\static\css\navbar.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 5, 29
"e:\projects\venv\Scripts\myPetProject\static\css\profile.css", "CSS", 0, 0, 81, 0, 0, 0, 0, 19, 100
"e:\projects\venv\Scripts\myPetProject\static\css\review_list.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 13, 55
"e:\projects\venv\Scripts\myPetProject\static\css\review_style.css", "CSS", 0, 0, 50, 0, 0, 0, 0, 13, 63
"e:\projects\venv\Scripts\myPetProject\static\css\set_up_profile.css", "CSS", 0, 0, 45, 0, 0, 0, 0, 13, 58
"e:\projects\venv\Scripts\myPetProject\static\images\logout.svg", "XML", 0, 0, 0, 15, 0, 0, 1, 0, 16
"e:\projects\venv\Scripts\myPetProject\static\images\rst-warn-v2.svg", "XML", 0, 0, 0, 19, 0, 0, 0, 0, 19
"e:\projects\venv\Scripts\myPetProject\static\images\rst-warn.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 18
"e:\projects\venv\Scripts\myPetProject\templates\common_app\error.html", "HTML", 0, 49, 0, 0, 0, 0, 11, 17, 77
"e:\projects\venv\Scripts\myPetProject\templates\common_app\index.html", "HTML", 0, 213, 0, 0, 0, 0, 14, 44, 271
"e:\projects\venv\Scripts\myPetProject\templates\patterns\base.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 5, 28
"e:\projects\venv\Scripts\myPetProject\templates\reviews\all_reviews.html", "HTML", 0, 97, 0, 0, 0, 0, 0, 13, 110
"e:\projects\venv\Scripts\myPetProject\templates\reviews\review.html", "HTML", 0, 132, 0, 0, 0, 0, 0, 32, 164
"e:\projects\venv\Scripts\myPetProject\templates\users\profile.html", "HTML", 0, 209, 0, 0, 0, 0, 0, 38, 247
"e:\projects\venv\Scripts\myPetProject\templates\users\set_up_profile.html", "HTML", 0, 125, 0, 0, 0, 0, 0, 30, 155
"e:\projects\venv\Scripts\myPetProject\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\admin.py", "Python", 4, 0, 0, 0, 0, 0, 1, 3, 8
"e:\projects\venv\Scripts\myPetProject\users\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\projects\venv\Scripts\myPetProject\users\components\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\components\authentification.py", "Python", 18, 0, 0, 0, 0, 0, 0, 9, 27
"e:\projects\venv\Scripts\myPetProject\users\components\authorisation.py", "Python", 12, 0, 0, 0, 0, 0, 0, 5, 17
"e:\projects\venv\Scripts\myPetProject\users\components\database_requests.py", "Python", 110, 0, 0, 0, 0, 0, 0, 24, 134
"e:\projects\venv\Scripts\myPetProject\users\components\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\components\interfaces\i_authentific.py", "Python", 8, 0, 0, 0, 0, 0, 0, 6, 14
"e:\projects\venv\Scripts\myPetProject\users\components\interfaces\i_authorisation.py", "Python", 8, 0, 0, 0, 0, 0, 0, 7, 15
"e:\projects\venv\Scripts\myPetProject\users\components\interfaces\i_registration.py", "Python", 5, 0, 0, 0, 0, 0, 0, 6, 11
"e:\projects\venv\Scripts\myPetProject\users\components\registration.py", "Python", 17, 0, 0, 0, 0, 0, 0, 8, 25
"e:\projects\venv\Scripts\myPetProject\users\components\validators.py", "Python", 45, 0, 0, 0, 0, 0, 0, 19, 64
"e:\projects\venv\Scripts\myPetProject\users\context_processors\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\context_processors\user_context.py", "Python", 6, 0, 0, 0, 0, 0, 0, 5, 11
"e:\projects\venv\Scripts\myPetProject\users\migrations\0001_initial.py", "Python", 24, 0, 0, 0, 0, 0, 1, 7, 32
"e:\projects\venv\Scripts\myPetProject\users\migrations\0002_alter_soundhomeusersadditionalinfo_image.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"e:\projects\venv\Scripts\myPetProject\users\migrations\0003_soundhomeusersadditionalinfo_avtive.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"e:\projects\venv\Scripts\myPetProject\users\migrations\0004_rename_avtive_soundhomeusersadditionalinfo_active.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"e:\projects\venv\Scripts\myPetProject\users\migrations\0005_alter_soundhomeusersadditionalinfo_nickname.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"e:\projects\venv\Scripts\myPetProject\users\migrations\0006_alter_soundhomeusersadditionalinfo_image.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"e:\projects\venv\Scripts\myPetProject\users\migrations\0007_alter_soundhomeusersadditionalinfo_image_and_more.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"e:\projects\venv\Scripts\myPetProject\users\migrations\0008_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 0, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\migrations\0009_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 0, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\migrations\0010_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 0, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\migrations\0011_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 0, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\migrations\0012_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 0, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\migrations\0013_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 0, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\models.py", "Python", 32, 0, 0, 0, 0, 0, 1, 8, 41
"e:\projects\venv\Scripts\myPetProject\users\serializers.py", "Python", 19, 0, 0, 0, 0, 0, 0, 10, 29
"e:\projects\venv\Scripts\myPetProject\users\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\services\authenticate_and_auth_or_registr_user.py", "Python", 37, 0, 0, 0, 0, 0, 0, 17, 54
"e:\projects\venv\Scripts\myPetProject\users\services\change_user_ava_service.py", "Python", 10, 0, 0, 0, 0, 0, 0, 7, 17
"e:\projects\venv\Scripts\myPetProject\users\services\change_user_nickname_service.py", "Python", 9, 0, 0, 0, 0, 0, 0, 6, 15
"e:\projects\venv\Scripts\myPetProject\users\services\delete_user_from_session_service.py", "Python", 9, 0, 0, 0, 0, 0, 0, 4, 13
"e:\projects\venv\Scripts\myPetProject\users\services\interfaces\ICommand.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\venv\Scripts\myPetProject\users\services\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\users\services\set_up_profile_service.py", "Python", 11, 0, 0, 0, 0, 0, 0, 6, 17
"e:\projects\venv\Scripts\myPetProject\users\services\user_active_data_service.py", "Python", 12, 0, 0, 0, 0, 0, 0, 6, 18
"e:\projects\venv\Scripts\myPetProject\users\services\user_data_service.py", "Python", 30, 0, 0, 0, 0, 0, 0, 9, 39
"e:\projects\venv\Scripts\myPetProject\users\tests.py", "Python", 6, 0, 0, 0, 0, 0, 2, 6, 14
"e:\projects\venv\Scripts\myPetProject\users\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 3, 13
"e:\projects\venv\Scripts\myPetProject\users\views.py", "Python", 89, 0, 0, 0, 0, 0, 1, 38, 128
"e:\projects\venv\Scripts\myPetProject\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\abstract_classes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\abstract_classes\abs_form.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\abstract_classes\abs_services.py", "Python", 21, 0, 0, 0, 0, 0, 1, 8, 30
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\abstract_classes\abs_validators.py", "Python", 38, 0, 0, 0, 0, 0, 0, 13, 51
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\data_structures\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\data_structures\service_errors.py", "Python", 20, 0, 0, 0, 0, 0, 0, 6, 26
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\interfaces\i_command.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\interfaces\i_use_case.py", "Python", 17, 0, 0, 0, 0, 0, 0, 6, 23
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\interfaces\i_validator.py", "Python", 5, 0, 0, 0, 0, 0, 0, 4, 9
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\types\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\types\error_type.py", "Python", 31, 0, 0, 0, 0, 0, 0, 9, 40
"e:\projects\venv\Scripts\myPetProject\utils\sesssion.py", "Python", 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\projects\venv\Scripts\myPetProject\utils\wrappers.py", "Python", 58, 0, 0, 0, 0, 0, 0, 24, 82
"Total", "-", 2074, 848, 254, 52, 3, 1, 147, 1071, 4450