"filename", "language", "Python", "HTML", "CSS", "comment", "blank", "total"
"e:\projects\venv\Scripts\myPetProject\reviews\components\database_requests.py", "Python", 35, 0, 0, 0, 7, 42
"e:\projects\venv\Scripts\myPetProject\reviews\services\all_reviews_page_service.py", "Python", 2, 0, 0, 0, 0, 2
"e:\projects\venv\Scripts\myPetProject\reviews\services\all_users_reviews_page_service.py", "Python", 9, 0, 0, 0, 0, 9
"e:\projects\venv\Scripts\myPetProject\reviews\services\certain_review_page_service.py", "Python", 14, 0, 0, 0, 0, 14
"e:\projects\venv\Scripts\myPetProject\reviews\services\certain_user_review_page_service.py", "Python", 9, 0, 0, 0, 1, 10
"e:\projects\venv\Scripts\myPetProject\reviews\services\mini_services.py", "Python", 20, 0, 0, 0, 9, 29
"e:\projects\venv\Scripts\myPetProject\reviews\urls.py", "Python", 2, 0, 0, 0, 1, 3
"e:\projects\venv\Scripts\myPetProject\reviews\views.py", "Python", 38, 0, 0, 0, 12, 50
"e:\projects\venv\Scripts\myPetProject\static\css\profile.css", "CSS", 0, 0, 103, 1, 31, 135
"e:\projects\venv\Scripts\myPetProject\templates\reviews\review.html", "HTML", 0, 111, 0, 0, 21, 132
"e:\projects\venv\Scripts\myPetProject\templates\users\profile.html", "HTML", 0, 91, 0, 0, 11, 102
"e:\projects\venv\Scripts\myPetProject\templates\users\set_up_profile.html", "HTML", 0, 3, 0, 0, 0, 3
"e:\projects\venv\Scripts\myPetProject\users\admin.py", "Python", 1, 0, 0, 0, 0, 1
"e:\projects\venv\Scripts\myPetProject\users\components\database_requests.py", "Python", 40, 0, 0, 0, 8, 48
"e:\projects\venv\Scripts\myPetProject\users\migrations\0014_alter_soundhomeusers_email_and_more.py", "Python", 41, 0, 0, 1, 6, 48
"e:\projects\venv\Scripts\myPetProject\users\migrations\0015_alter_soundhomeusers_email_and_more.py", "Python", 28, 0, 0, 1, 6, 35
"e:\projects\venv\Scripts\myPetProject\users\models.py", "Python", 6, 0, 0, 0, 3, 9
"e:\projects\venv\Scripts\myPetProject\users\services\user_active_data_service.py", "Python", 1, 0, 0, 0, -1, 0
"e:\projects\venv\Scripts\myPetProject\users\services\user_data_service.py", "Python", 16, 0, 0, 0, 5, 21
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\abstract_classes\abs_services.py", "Python", 5, 0, 0, 0, 0, 5
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\data_structures\service_errors.py", "Python", 15, 0, 0, 0, 5, 20
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\types\error_type.py", "Python", 4, 0, 0, 0, 2, 6
"e:\projects\venv\Scripts\myPetProject\utils\wrappers.py", "Python", 0, 0, 0, 0, 3, 3
"Total", "-", 286, 205, 103, 3, 130, 727